1:0:d=2018052106:VIS:surface:3 hour fcst:
2:577700:d=2018052106:UGRD:planetary boundary layer:3 hour fcst:
3:1299781:d=2018052106:VGRD:planetary boundary layer:3 hour fcst:
4:2021862:d=2018052106:VRATE:planetary boundary layer:3 hour fcst:
5:2743943:d=2018052106:GUST:surface:3 hour fcst:
301:249731999:d=2018052106:SHTFL:surface:0-3 hour ave fcst:
302:250742864:d=2018052106:GFLUX:surface:0-3 hour ave fcst:
303:251291161:d=2018052106:UFLX:surface:0-3 hour ave fcst:
304:252157646:d=2018052106:VFLX:surface:0-3 hour ave fcst:
305:253024131:d=2018052106:U-GWD:surface:0-3 hour ave fcst:
306:254107186:d=2018052106:V-GWD:surface:0-3 hour ave fcst:
307:255190241:d=2018052106:WILT:surface:3 hour fcst:
308:256056702:d=2018052106:FLDCP:surface:3 hour fcst:
309:256995353:d=2018052106:SUNSD:surface:3 hour fcst:
310:258006194:d=2018052106:LFTX:surface:3 hour fcst:
311:258728275:d=2018052106:CAPE:surface:3 hour fcst:
312:259666926:d=2018052106:CIN:surface:3 hour fcst:
313:260677767:d=2018052106:PWAT:entire atmosphere (considered as a single layer):3 hour fcst:
314:261399848:d=2018052106:CWAT:entire atmosphere (considered as a single layer):3 hour fcst:
315:262121929:d=2018052106:RH:entire atmosphere (considered as a single layer):3 hour fcst:
316:262627439:d=2018052106:TOZNE:entire atmosphere (considered as a single layer):3 hour fcst:
317:263493900:d=2018052106:TCDC:low cloud layer:0-3 hour ave fcst:
318:263999434:d=2018052106:TCDC:middle cloud layer:0-3 hour ave fcst:
319:264504968:d=2018052106:TCDC:high cloud layer:0-3 hour ave fcst:
320:265010502:d=2018052106:TCDC:entire atmosphere:0-3 hour ave fcst:
321:265516036:d=2018052106:PRES:convective cloud bottom level:3 hour fcst:
322:265921876:d=2018052106:PRES:low cloud bottom level:0-3 hour ave fcst:
323:266686566:d=2018052106:PRES:middle cloud bottom level:0-3 hour ave fcst:
324:267247384:d=2018052106:PRES:high cloud bottom level:0-3 hour ave fcst:
325:268041768:d=2018052106:PRES:convective cloud top level:3 hour fcst:
326:268447608:d=2018052106:PRES:low cloud top level:0-3 hour ave fcst:
327:269212298:d=2018052106:PRES:middle cloud top level:0-3 hour ave fcst:
328:269773116:d=2018052106:PRES:high cloud top level:0-3 hour ave fcst:
329:270567500:d=2018052106:TMP:low cloud top level:0-3 hour ave fcst:
330:271072579:d=2018052106:TMP:middle cloud top level:0-3 hour ave fcst:
331:271450238:d=2018052106:TMP:high cloud top level:0-3 hour ave fcst:
332:271973876:d=2018052106:TCDC:convective cloud layer:3 hour fcst:
333:272479386:d=2018052106:TCDC:boundary layer cloud layer:0-3 hour ave fcst:
334:272984920:d=2018052106:CWORK:entire atmosphere (considered as a single layer):0-3 hour ave fcst:
335:273779215:d=2018052106:DSWRF:surface:0-3 hour ave fcst:
336:274284749:d=2018052106:DLWRF:surface:0-3 hour ave fcst:
337:274934664:d=2018052106:USWRF:surface:0-3 hour ave fcst:
338:275656769:d=2018052106:ULWRF:surface:0-3 hour ave fcst:
339:276378874:d=2018052106:USWRF:top of atmosphere:0-3 hour ave fcst:
340:277100979:d=2018052106:ULWRF:top of atmosphere:0-3 hour ave fcst:
341:277750894:d=2018052106:HLCY:3000-0 m above ground:3 hour fcst:
342:278545165:d=2018052106:USTM:6000-0 m above ground:3 hour fcst:
343:279483816:d=2018052106:VSTM:6000-0 m above ground:3 hour fcst:
344:280422467:d=2018052106:PRES:tropopause:3 hour fcst:
345:281577688:d=2018052106:ICAHT:tropopause:3 hour fcst:
346:282732909:d=2018052106:HGT:tropopause:3 hour fcst:
347:283815940:d=2018052106:TMP:tropopause:3 hour fcst:
348:284538021:d=2018052106:UGRD:tropopause:3 hour fcst:
349:285332292:d=2018052106:VGRD:tropopause:3 hour fcst:
350:286126563:d=2018052106:VWSH:tropopause:3 hour fcst:
351:286848644:d=2018052106:PRES:max wind:3 hour fcst:
352:288003865:d=2018052106:ICAHT:max wind:3 hour fcst:
353:289159086:d=2018052106:HGT:max wind:3 hour fcst:
354:290314307:d=2018052106:UGRD:max wind:3 hour fcst:
355:291108578:d=2018052106:VGRD:max wind:3 hour fcst:
356:291902849:d=2018052106:TMP:max wind:3 hour fcst:
357:292624930:d=2018052106:TMP:80 m above ground:3 hour fcst:
358:293347011:d=2018052106:SPFH:80 m above ground:3 hour fcst:
359:294213472:d=2018052106:PRES:80 m above ground:3 hour fcst:
360:295368693:d=2018052106:UGRD:80 m above ground:3 hour fcst:
361:296307344:d=2018052106:VGRD:80 m above ground:3 hour fcst:
362:297245995:d=2018052106:TMP:100 m above ground:3 hour fcst:
363:297968076:d=2018052106:UGRD:100 m above ground:3 hour fcst:
364:298906727:d=2018052106:VGRD:100 m above ground:3 hour fcst:
365:299845378:d=2018052106:TMP:1829 m above mean sea level:3 hour fcst:
366:300567558:d=2018052106:UGRD:1829 m above mean sea level:3 hour fcst:
367:301484681:d=2018052106:VGRD:1829 m above mean sea level:3 hour fcst:
368:302401804:d=2018052106:TMP:2743 m above mean sea level:3 hour fcst:
369:303155513:d=2018052106:UGRD:2743 m above mean sea level:3 hour fcst:
370:304113624:d=2018052106:VGRD:2743 m above mean sea level:3 hour fcst:
371:305071735:d=2018052106:TMP:3658 m above mean sea level:3 hour fcst:
372:305854997:d=2018052106:UGRD:3658 m above mean sea level:3 hour fcst:
373:306851526:d=2018052106:VGRD:3658 m above mean sea level:3 hour fcst:
374:307848055:d=2018052106:HGT:0C isotherm:3 hour fcst:
375:309003276:d=2018052106:RH:0C isotherm:3 hour fcst:
376:309508786:d=2018052106:HGT:highest tropospheric freezing level:3 hour fcst:
377:310664007:d=2018052106:RH:highest tropospheric freezing level:3 hour fcst:
378:311169517:d=2018052106:TMP:30-0 mb above ground:3 hour fcst:
379:311891598:d=2018052106:RH:30-0 mb above ground:3 hour fcst:
380:312397108:d=2018052106:SPFH:30-0 mb above ground:3 hour fcst:
381:313480139:d=2018052106:UGRD:30-0 mb above ground:3 hour fcst:
382:314418790:d=2018052106:VGRD:30-0 mb above ground:3 hour fcst:
383:315357441:d=2018052106:4LFTX:surface:3 hour fcst:
384:316007332:d=2018052106:CAPE:180-0 mb above ground:3 hour fcst:
385:316945983:d=2018052106:CIN:180-0 mb above ground:3 hour fcst:
386:317884634:d=2018052106:HPBL:surface:3 hour fcst:
387:319039855:d=2018052106:RH:0.33-1 sigma layer:3 hour fcst:
388:319545365:d=2018052106:RH:0.44-1 sigma layer:3 hour fcst:
389:320050875:d=2018052106:RH:0.72-0.94 sigma layer:3 hour fcst:
390:320556385:d=2018052106:RH:0.44-0.72 sigma layer:3 hour fcst:
391:321061895:d=2018052106:TMP:0.995 sigma level:3 hour fcst:
392:322072736:d=2018052106:POT:0.995 sigma level:3 hour fcst:
393:322794817:d=2018052106:RH:0.995 sigma level:3 hour fcst:
394:323300327:d=2018052106:UGRD:0.995 sigma level:3 hour fcst:
395:324238978:d=2018052106:VGRD:0.995 sigma level:3 hour fcst:
396:325177629:d=2018052106:VVEL:0.995 sigma level:3 hour fcst:
397:326188470:d=2018052106:CAPE:255-0 mb above ground:3 hour fcst:
398:327127121:d=2018052106:CIN:255-0 mb above ground:3 hour fcst:
399:328137962:d=2018052106:PLPL:255-0 mb above ground:3 hour fcst:
400:329293183:d=2018052106:LAND:surface:3 hour fcst:
401:329365553:d=2018052106:ICEC:surface:3 hour fcst:
402:329871063:d=2018052106:ALBDO:surface:0-3 hour ave fcst:
403:330881928:d=2018052106:UGRD:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
404:331355211:d=2018052106:VGRD:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
405:331828494:d=2018052106:TMP:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
406:332411117:d=2018052106:HGT:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
407:333066633:d=2018052106:PRES:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
408:333722149:d=2018052106:VWSH:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
409:334122539:d=2018052106:UGRD:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
410:334593604:d=2018052106:VGRD:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
411:335064669:d=2018052106:TMP:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
